Freq.	V(n002)	V(n004)/V(n002)
3.12869886161883e+004	(2.61290498205006e+000dB,-1.73268944510990e+002°)	(-4.19764777629291e+000dB,-1.16699143147916e+002°)
3.13591125736891e+004	(2.63396421599165e+000dB,-1.74440965386618e+002°)	(-4.12173954229321e+000dB,-1.16946915691693e+002°)
3.14314027940832e+004	(2.65142393461532e+000dB,-1.75618159933674e+002°)	(-4.04536419355185e+000dB,-1.17198926395881e+002°)
3.15038596606459e+004	(2.66524057735867e+000dB,-1.76799572852790e+002°)	(-3.96851901396479e+000dB,-1.17455276859069e+002°)
3.15764835575364e+004	(2.67537938424958e+000dB,-1.77984227754460e+002°)	(-3.89120142337934e+000dB,-1.17716071585550e+002°)
3.16492748697994e+004	(2.68181468585759e+000dB,-1.79171131890632e+002°)	(-3.81340899042392e+000dB,-1.17981418071195e+002°)
3.17222339833672e+004	(2.68453011958132e+000dB,1.79640718908734e+002°)	(-3.73513944620820e+000dB,-1.18251426891156e+002°)
3.17953612850617e+004	(2.68351876846977e+000dB,1.78452335154542e+002°)	(-3.65639069894823e+000dB,-1.18526211789351e+002°)
3.18686571625966e+004	(2.67878322011435e+000dB,1.77264728536649e+002°)	(-3.57716084957385e+000dB,-1.18805889769628e+002°)
3.19421220045793e+004	(2.67033554456079e+000dB,1.76078906746914e+002°)	(-3.49744820837950e+000dB,-1.19090581188521e+002°)
3.20157562005132e+004	(2.65819719163523e+000dB,1.74895868353234e+002°)	(-3.41725131278200e+000dB,-1.19380409849483e+002°)
3.20895601407994e+004	(2.64239880951150e+000dB,1.73716597789461e+002°)	(-3.33656894625329e+000dB,-1.19675503098442e+002°)
3.21635342167390e+004	(2.62297998772393e+000dB,1.72542060523299e+002°)	(-3.25540015849901e+000dB,-1.19975991920520e+002°)
3.22376788205352e+004	(2.59998892911115e+000dB,1.71373198460162e+002°)	(-3.17374428695765e+000dB,-1.20282011037717e+002°)
3.23119943452954e+004	(2.57348205632403e+000dB,1.70210925635553e+002°)	(-3.09160097969888e+000dB,-1.20593699007336e+002°)
3.23864811850331e+004	(2.54352355951564e+000dB,1.69056124242010e+002°)	(-3.00897021980338e+000dB,-1.20911198320884e+002°)
3.24611397346700e+004	(2.51018489262854e+000dB,1.67909641029385e+002°)	(-2.92585235131060e+000dB,-1.21234655503147e+002°)
3.25359703900384e+004	(2.47354422629030e+000dB,1.66772284109270e+002°)	(-2.84224810682412e+000dB,-1.21564221211104e+002°)
3.26109735478829e+004	(2.43368586571270e+000dB,1.65644820186170e+002°)	(-2.75815863686933e+000dB,-1.21900050332283e+002°)
3.26861496058629e+004	(2.39069964216713e+000dB,1.64527972229722e+002°)	(-2.67358554110089e+000dB,-1.22242302082119e+002°)
3.27614989625542e+004	(2.34468028658334e+000dB,1.63422417594093e+002°)	(-2.58853090146202e+000dB,-1.22591140099819e+002°)
3.28370220174518e+004	(2.29572679360717e+000dB,1.62328786582977e+002°)	(-2.50299731740083e+000dB,-1.22946732542166e+002°)
3.29127191709712e+004	(2.24394178407535e+000dB,1.61247661451425e+002°)	(-2.41698794325290e+000dB,-1.23309252174640e+002°)
3.29885908244514e+004	(2.18943087334489e+000dB,1.60179575829304e+002°)	(-2.33050652790190e+000dB,-1.23678876459137e+002°)
3.30646373801562e+004	(2.13230205227767e+000dB,1.59125014545587e+002°)	(-2.24355745683359e+000dB,-1.24055787637518e+002°)
3.31408592412768e+004	(2.07266508695719e+000dB,1.58084413827975e+002°)	(-2.15614579670043e+000dB,-1.24440172810085e+002°)
3.32172568119341e+004	(2.01063094242906e+000dB,1.57058161848645e+002°)	(-2.06827734251633e+000dB,-1.24832224008031e+002°)
3.32938304971804e+004	(1.94631123493866e+000dB,1.56046599584090e+002°)	(-1.97995866760206e+000dB,-1.25232138258757e+002°)
3.33705807030016e+004	(1.87981771631325e+000dB,1.55050021955168e+002°)	(-1.89119717640229e+000dB,-1.25640117642878e+002°)
3.34475078363198e+004	(1.81126179332083e+000dB,1.54068679212474e+002°)	(-1.80200116029486e+000dB,-1.26056369341581e+002°)
3.35246123049949e+004	(1.74075408405752e+000dB,1.53102778531905e+002°)	(-1.71237985651079e+000dB,-1.26481105672874e+002°)
3.36018945178272e+004	(1.66840401268017e+000dB,1.52152485785770e+002°)	(-1.62234351028095e+000dB,-1.26914544115125e+002°)
3.36793548845593e+004	(1.59431944312558e+000dB,1.51217927455872e+002°)	(-1.53190344031990e+000dB,-1.27356907316125e+002°)
3.37569938158783e+004	(1.51860635185069e+000dB,1.50299192656543e+002°)	(-1.44107210775168e+000dB,-1.27808423085748e+002°)
3.38348117234181e+004	(1.44136853909186e+000dB,1.49396335237580e+002°)	(-1.34986318857273e+000dB,-1.28269324370086e+002°)
3.39128090197614e+004	(1.36270737768297e+000dB,1.48509375939271e+002°)	(-1.25829164973650e+000dB,-1.28739849204781e+002°)
3.39909861184423e+004	(1.28272159808573e+000dB,1.47638304574161e+002°)	(-1.16637382892993e+000dB,-1.29220240645029e+002°)
3.40693434339479e+004	(1.20150710797458e+000dB,1.46783082212777e+002°)	(-1.07412751809443e+000dB,-1.29710746669560e+002°)
3.41478813817209e+004	(1.11915684447484e+000dB,1.45943643353158e+002°)	(-9.81572050723536e-001dB,-1.30211620055658e+002°)
3.42266003781616e+004	(1.03576065697398e+000dB,1.45119898056615e+002°)	(-8.88728392943183e-001dB,-1.30723118222047e+002°)
3.43055008406304e+004	(9.51405218305080e-001dB,1.44311734034720e+002°)	(-7.95619238351961e-001dB,-1.31245503036252e+002°)
3.43845831874497e+004	(8.66173962031853e-001dB,1.43519018674899e+002°)	(-7.02269106562084e-001dB,-1.31779040582779e+002°)
3.44638478379061e+004	(7.80147043541102e-001dB,1.42741600994342e+002°)	(-6.08704445342337e-001dB,-1.32324000888231e+002°)
3.45432952122530e+004	(6.93401322662694e-001dB,1.41979313513999e+002°)	(-5.14953736215795e-001dB,-1.32880657599208e+002°)
3.46229257317124e+004	(6.06010365583875e-001dB,1.41231974046438e+002°)	(-4.21047603311542e-001dB,-1.33449287608616e+002°)
3.47027398184774e+004	(5.18044463897626e-001dB,1.40499387393024e+002°)	(-3.27018925207374e-001dB,-1.34030170625760e+002°)
3.47827378957144e+004	(4.29570668718096e-001dB,1.39781346947505e+002°)	(-2.32902949430016e-001dB,-1.34623588685377e+002°)
3.48629203875652e+004	(3.40652837905409e-001dB,1.39077636204418e+002°)	(-1.38737409200799e-001dB,-1.35229825590561e+002°)
3.49432877191494e+004	(2.51351694561784e-001dB,1.38388030171937e+002°)	(-4.45626419256518e-002dB,-1.35849166284370e+002°)
3.50238403165666e+004	(1.61724895088324e-001dB,1.37712296689826e+002°)	(4.95782911701680e-002dB,-1.36481896144740e+002°)
3.51045786068986e+004	(7.18271052232109e-002dB,1.37050197653985e+002°)	(1.43639484970598e-001dB,-1.37128300197255e+002°)
3.51855030182119e+004	(-1.82899173870472e-002dB,1.36401490149822e+002°)	(2.37572070788882e-001dB,-1.37788662240291e+002°)
3.52666139795595e+004	(-1.08577235399744e-001dB,1.35765927497232e+002°)	(3.31324098037291e-001dB,-1.38463263877078e+002°)
3.53479119209838e+004	(-1.98988639961842e-001dB,1.35143260210443e+002°)	(4.24840418345607e-001dB,-1.39152383449346e+002°)
3.54293972735183e+004	(-2.89480555936279e-001dB,1.34533236876320e+002°)	(5.18062573378597e-001dB,-1.39856294867439e+002°)
3.55110704691902e+004	(-3.80011945118961e-001dB,1.33935604954967e+002°)	(6.10928687763330e-001dB,-1.40575266332147e+002°)
3.55929319410228e+004	(-4.70544208286848e-001dB,1.33350111506639e+002°)	(7.03373368706292e-001dB,-1.41309558943943e+002°)
3.56749821230373e+004	(-5.61041086813331e-001dB,1.32776503849067e+002°)	(7.95327614055435e-001dB,-1.42059425195980e+002°)
3.57572214502557e+004	(-6.51468564492561e-001dB,1.32214530149339e+002°)	(8.86718730742850e-001dB,-1.42825107348000e+002°)
3.58396503587027e+004	(-7.41794770125263e-001dB,1.31663939954446e+002°)	(9.77470265725008e-001dB,-1.43606835679299e+002°)
3.59222692854082e+004	(-8.31989881338351e-001dB,1.31124484664559e+002°)	(1.06750195171764e+000dB,-1.44404826620157e+002°)
3.60050786684095e+004	(-9.22026030036949e-001dB,1.30595917953011e+002°)	(1.15672967019542e+000dB,-1.45219280762532e+002°)
3.60880789467537e+004	(-1.01187720982157e+000dB,1.30077996136801e+002°)	(1.24506543428889e+000dB,-1.46050380752600e+002°)
3.61712705605000e+004	(-1.10151918564286e+000dB,1.29570478501350e+002°)	(1.33241739435549e+000dB,-1.46898289069613e+002°)
3.62546539507221e+004	(-1.19092940591414e+000dB,1.29073127583040e+002°)	(1.41868986912145e+000dB,-1.47763145697859e+002°)
3.63382295595104e+004	(-1.28008691725408e+000dB,1.28585709412896e+002°)	(1.50378340537899e+000dB,-1.48645065700957e+002°)
3.64219978299744e+004	(-1.36897228199058e+000dB,1.28107993724638e+002°)	(1.58759486927101e+000dB,-1.49544136710532e+002°)
3.65059592062452e+004	(-1.45756749852065e+000dB,1.27639754130090e+002°)	(1.67001757219089e+000dB,-1.50460416344325e+002°)
3.65901141334777e+004	(-1.54585592458920e+000dB,1.27180768264805e+002°)	(1.75094143426402e+000dB,-1.51393929572041e+002°)
3.66744630578529e+004	(-1.63382220352256e+000dB,1.26730817906556e+002°)	(1.83025318824376e+000dB,-1.52344666050664e+002°)
3.67590064265804e+004	(-1.72145219342903e+000dB,1.26289689069180e+002°)	(1.90783662644399e+000dB,-1.53312577454514e+002°)
3.68437446879007e+004	(-1.80873289935896e+000dB,1.25857172074085e+002°)	(1.98357289302926e+000dB,-1.54297574828944e+002°)
3.69286782910877e+004	(-1.89565240840021e+000dB,1.25433061601580e+002°)	(2.05734082358819e+000dB,-1.55299526000130e+002°)
3.70138076864508e+004	(-1.98219982767095e+000dB,1.25017156724011e+002°)	(2.12901733341488e+000dB,-1.56318253076863e+002°)
3.70991333253376e+004	(-2.06836522516028e+000dB,1.24609260922562e+002°)	(2.19847785531823e+000dB,-1.57353530083436e+002°)
3.71846556601363e+004	(-2.15413957335801e+000dB,1.24209182089419e+002°)	(2.26559682706365e+000dB,-1.58405080765484e+002°)
3.72703751442776e+004	(-2.23951469560756e+000dB,1.23816732516883e+002°)	(2.33024822773335e+000dB,-1.59472576612954e+002°)
3.73562922322378e+004	(-2.32448321511031e+000dB,1.23431728874875e+002°)	(2.39230616137289e+000dB,-1.60555635145900e+002°)
3.74424073795407e+004	(-2.40903850650461e+000dB,1.23053992178187e+002°)	(2.45164548528822e+000dB,-1.61653818509559e+002°)
3.75287210427602e+004	(-2.49317464994051e+000dB,1.22683347744705e+002°)	(2.50814247928397e+000dB,-1.62766632424929e+002°)
3.76152336795229e+004	(-2.57688638756760e+000dB,1.22319625145748e+002°)	(2.56167555101405e+000dB,-1.63893525539667e+002°)
3.77019457485100e+004	(-2.66016908235243e+000dB,1.21962658149578e+002°)	(2.61212597147609e+000dB,-1.65033889221535e+002°)
3.77888577094604e+004	(-2.74301867914041e+000dB,1.21612284659033e+002°)	(2.65937863355794e+000dB,-1.66187057832698e+002°)
3.78759700231726e+004	(-2.82543166787640e+000dB,1.21268346644196e+002°)	(2.70332282546950e+000dB,-1.67352309517887e+002°)
3.79632831515074e+004	(-2.90740504889784e+000dB,1.20930690070901e+002°)	(2.74385300991230e+000dB,-1.68528867532791e+002°)
3.80507975573903e+004	(-2.98893630021351e+000dB,1.20599164825844e+002°)	(2.78086959898875e+000dB,-1.69715902131124e+002°)
3.81385137048141e+004	(-3.07002334668171e+000dB,1.20273624638986e+002°)	(2.81427971417934e+000dB,-1.70912533019684e+002°)
3.82264320588409e+004	(-3.15066453100069e+000dB,1.19953927003878e+002°)	(2.84399792025322e+000dB,-1.72117832380620e+002°)
3.83145530856052e+004	(-3.23085858642514e+000dB,1.19639933096504e+002°)	(2.86994692176385e+000dB,-1.73330828449267e+002°)
3.84028772523158e+004	(-3.31060461112233e+000dB,1.19331507693140e+002°)	(2.89205821084302e+000dB,-1.74550509624578e+002°)
3.84914050272588e+004	(-3.38990204408194e+000dB,1.19028519087725e+002°)	(2.91027265535934e+000dB,-1.75775829077752e+002°)
3.85801368797995e+004	(-3.46875064249476e+000dB,1.18730839009145e+002°)	(2.92454101716519e+000dB,-1.77005709813450e+002°)
3.86690732803853e+004	(-3.54715046051579e+000dB,1.18438342538821e+002°)	(2.93482439110730e+000dB,-1.78239050127468e+002°)
3.87582147005484e+004	(-3.62510182932899e+000dB,1.18150908028897e+002°)	(2.94109455671134e+000dB,-1.79474729395151e+002°)
3.88475616129075e+004	(-3.70260533843268e+000dB,1.17868417021332e+002°)	(2.94333423593467e+000dB,1.79288385883251e+002°)
3.89371144911711e+004	(-3.77966181806628e+000dB,1.17590754168096e+002°)	(2.94153725207687e+000dB,1.78051435860618e+002°)
3.90268738101397e+004	(-3.85627232270224e+000dB,1.17317807152671e+002°)	(2.93570858679184e+000dB,1.76815561029139e+002°)
3.91168400457082e+004	(-3.93243811552964e+000dB,1.17049466613001e+002°)	(2.92586433409963e+000dB,1.75581895901805e+002°)
3.92070136748687e+004	(-4.00816065385951e+000dB,1.16785626065976e+002°)	(2.91203155228710e+000dB,1.74351562776470e+002°)
3.92973951757127e+004	(-4.08344157538611e+000dB,1.16526181833547e+002°)	(2.89424801654751e+000dB,1.73125665667634e+002°)
3.93879850274341e+004	(-4.15828268524225e+000dB,1.16271032970486e+002°)	(2.87256187707788e+000dB,1.71905284486815e+002°)
3.94787837103310e+004	(-4.23268594379118e+000dB,1.16020081193809e+002°)	(2.84703122906653e+000dB,1.70691469546122e+002°)
3.95697917058093e+004	(-4.30665345510272e+000dB,1.15773230813860e+002°)	(2.81772360251381e+000dB,1.69485236451678e+002°)
3.96610094963840e+004	(-4.38018745606542e+000dB,1.15530388667014e+002°)	(2.78471538109057e+000dB,1.68287561444095e+002°)
3.97524375656830e+004	(-4.45329030609150e+000dB,1.15291464049954e+002°)	(2.74809116022298e+000dB,1.67099377232787e+002°)
3.98440763984488e+004	(-4.52596447737583e+000dB,1.15056368655487e+002°)	(2.70794305528134e+000dB,1.65921569359747e+002°)
3.99359264805412e+004	(-4.59821254567419e+000dB,1.14825016509817e+002°)	(2.66436997113581e+000dB,1.64754973116958e+002°)
4.00279882989404e+004	(-4.67003718157065e+000dB,1.14597323911238e+002°)	(2.61747684443502e+000dB,1.63600371030316e+002°)
4.01202623417488e+004	(-4.74144114220671e+000dB,1.14373209370166e+002°)	(2.56737386977663e+000dB,1.62458490911942e+002°)
4.02127490981943e+004	(-4.81242726344863e+000dB,1.14152593550476e+002°)	(2.51417572050250e+000dB,1.61330004472636e+002°)
4.03054490586325e+004	(-4.88299845247216e+000dB,1.13935399212074e+002°)	(2.45800077419782e+000dB,1.60215526476928e+002°)
4.03983627145493e+004	(-4.95315768074553e+000dB,1.13721551154674e+002°)	(2.39897035213981e+000dB,1.59115614415178e+002°)
4.04914905585637e+004	(-5.02290797739466e+000dB,1.13510976162740e+002°)	(2.33720798097329e+000dB,1.58030768660321e+002°)
4.05848330844302e+004	(-5.09225242293468e+000dB,1.13303602951553e+002°)	(2.27283868382279e+000dB,1.56961433071499e+002°)
4.06783907870416e+004	(-5.16119414335441e+000dB,1.13099362114394e+002°)	(2.20598830693211e+000dB,1.55907996002678e+002°)
4.07721641624316e+004	(-5.22973630454013e+000dB,1.12898186070826e+002°)	(2.13678288678126e+000dB,1.54870791671657e+002°)
4.08661537077772e+004	(-5.29788210702654e+000dB,1.12700009016044e+002°)	(2.06534806150888e+000dB,1.53850101843341e+002°)
4.09603599214017e+004	(-5.36563478106239e+000dB,1.12504766871322e+002°)	(1.99180852938776e+000dB,1.52846157780820e+002°)
4.10547833027770e+004	(-5.43299758197914e+000dB,1.12312397235523e+002°)	(1.91628755608936e+000dB,1.51859142418380e+002°)
4.11494243525264e+004	(-5.49997378585077e+000dB,1.12122839337688e+002°)	(1.83890653154547e+000dB,1.50889192712138e+002°)
4.12442835724275e+004	(-5.56656668543287e+000dB,1.11936033990713e+002°)	(1.75978457638486e+000dB,1.49936402126115e+002°)
4.13393614654144e+004	(-5.63277958636956e+000dB,1.11751923546097e+002°)	(1.67903819719682e+000dB,1.49000823214362e+002°)
4.14346585355805e+004	(-5.69861580365616e+000dB,1.11570451849789e+002°)	(1.59678098925647e+000dB,1.48082470262864e+002°)
4.15301752881815e+004	(-5.76407865834611e+000dB,1.11391564199112e+002°)	(1.51312338483479e+000dB,1.47181321958397e+002°)
4.16259122296377e+004	(-5.82917147449017e+000dB,1.11215207300793e+002°)	(1.42817244481005e+000dB,1.46297324055047e+002°)
4.17218698675367e+004	(-5.89389757629666e+000dB,1.11041329230072e+002°)	(1.34203169098650e+000dB,1.45430392012740e+002°)
4.18180487106366e+004	(-5.95826028550082e+000dB,1.10869879390906e+002°)	(1.25480097630602e+000dB,1.44580413585669e+002°)
4.19144492688678e+004	(-6.02226291893211e+000dB,1.10700808477253e+002°)	(1.16657638999697e+000dB,1.43747251341958e+002°)
4.20110720533366e+004	(-6.08590878626847e+000dB,1.10534068435440e+002°)	(1.07745019463640e+000dB,1.42930745099172e+002°)
4.21079175763273e+004	(-6.14920118796651e+000dB,1.10369612427597e+002°)	(9.87510792091011e-001dB,1.42130714263320e+002°)
4.22049863513053e+004	(-6.21214341335723e+000dB,1.10207394796140e+002°)	(8.96842715345444e-001dB,1.41346960061817e+002°)
4.23022788929196e+004	(-6.27473873889710e+000dB,1.10047371029309e+002°)	(8.05526643309961e-001dB,1.40579267663390e+002°)
4.23997957170055e+004	(-6.33699042656458e+000dB,1.09889497727725e+002°)	(7.13639435816391e-001dB,1.39827408180196e+002°)
4.24975373405875e+004	(-6.39890172239304e+000dB,1.09733732571963e+002°)	(6.21254186153756e-001dB,1.39091140549412e+002°)
4.25955042818820e+004	(-6.46047585513083e+000dB,1.09580034291104e+002°)	(5.28440288655069e-001dB,1.38370213293284e+002°)
4.26936970602999e+004	(-6.52171603502002e+000dB,1.09428362632268e+002°)	(4.35263519019454e-001dB,1.37664366158121e+002°)
4.27921161964496e+004	(-6.58262545268613e+000dB,1.09278678331091e+002°)	(3.41786125233087e-001dB,1.36973331633939e+002°)
4.28907622121396e+004	(-6.64320727813070e+000dB,1.09130943083120e+002°)	(2.48066927134037e-001dB,1.36296836357527e+002°)
4.29896356303811e+004	(-6.70346465981985e+000dB,1.08985119516120e+002°)	(1.54161422846388e-001dB,1.35634602402489e+002°)
4.30887369753913e+004	(-6.76340072386218e+000dB,1.08841171163250e+002°)	(6.01219004854619e-002dB,1.34986348460512e+002°)
4.31880667725956e+004	(-6.82301857326931e+000dB,1.08699062437090e+002°)	(-3.40024462946755e-002dB,1.34351790918585e+002°)
4.32876255486306e+004	(-6.88232128729349e+000dB,1.08558758604502e+002°)	(-1.28165400178104e-001dB,1.33730644837232e+002°)
4.33874138313472e+004	(-6.94131192083657e+000dB,1.08420225762291e+002°)	(-2.22323600603698e-001dB,1.33122624835086e+002°)
