Freq.	V(va)/I(R1a_3)
8.24311310786434e+002	(1.08409137808576e+002dB,1.25592157688187e+002°)
8.43511987785521e+002	(1.08270424481996e+002dB,1.26366364791475e+002°)
8.63159906005733e+002	(1.08135094723039e+002dB,1.27148038339178e+002°)
8.83265483033381e+002	(1.08003201102940e+002dB,1.27936364280586e+002°)
9.03839379111534e+002	(1.07874788230710e+002dB,1.28730506346179e+002°)
9.24892502792220e+002	(1.07749892471824e+002dB,1.29529610542185e+002°)
9.46436016720287e+002	(1.07628541740560e+002dB,1.30332809823890e+002°)
9.68481343551980e+002	(1.07510755368892e+002dB,1.31139228885172e+002°)
9.91040172011391e+002	(1.07396544053425e+002dB,1.31947988999586e+002°)
1.01412446308797e+003	(1.07285909880405e+002dB,1.32758212847781e+002°)
1.03774645637840e+003	(1.07178846427431e+002dB,1.33569029267011e+002°)
1.06191867657620e+003	(1.07075338939066e+002dB,1.34379577861109e+002°)
1.08665394011248e+003	(1.06975364572313e+002dB,1.35189013413235e+002°)
1.11196536195137e+003	(1.06878892706730e+002dB,1.35996510048974e+002°)
1.13786636254377e+003	(1.06785885313013e+002dB,1.36801265103690e+002°)
1.16437067494303e+003	(1.06696297373033e+002dB,1.37602502655159e+002°)
1.19149235208642e+003	(1.06610077343755e+002dB,1.38399476690246e+002°)
1.21924577424614e+003	(1.06527167657059e+002dB,1.39191473882432e+002°)
1.24764565665400e+003	(1.06447505247293e+002dB,1.39977815965077e+002°)
1.27670705730356e+003	(1.06371022098436e+002dB,1.40757861693246e+002°)
1.30644538493412e+003	(1.06297645802912e+002dB,1.41531008394424e+002°)
1.33687640720061e+003	(1.06227300124479e+002dB,1.42296693115425e+002°)
1.36801625903386e+003	(1.06159905558117e+002dB,1.43054393378974e+002°)
1.39988145119548e+003	(1.06095379880437e+002dB,1.43803627568895e+002°)
1.43248887903215e+003	(1.06033638684854e+002dB,1.44543954967255e+002°)
1.46585583143371e+003	(1.05974595896483e+002dB,1.45274975470468e+002°)
1.49999999999999e+003	(1.05918164262539e+002dB,1.45996329013915e+002°)
1.53493948842113e+003	(1.05864255814781e+002dB,1.46707694736471e+002°)
1.57069282207634e+003	(1.05812782301328e+002dB,1.47408789917195e+002°)
1.60727895785640e+003	(1.05763655585912e+002dB,1.48099368716653e+002°)
1.64471729421477e+003	(1.05716788013322e+002dB,1.48779220754810e+002°)
1.68302768145294e+003	(1.05672092740436e+002dB,1.49448169556432e+002°)
1.72223043224532e+003	(1.05629484032801e+002dB,1.50106070893349e+002°)
1.76234633240929e+003	(1.05588877527208e+002dB,1.50752811051121e+002°)
1.80339665192611e+003	(1.05550190461159e+002dB,1.51388305045440e+002°)
1.84540315621856e+003	(1.05513341870447e+002dB,1.52012494811322e+002°)
1.88838811769124e+003	(1.05478252756379e+002dB,1.52625347385676e+002°)
1.93237432753969e+003	(1.05444846224365e+002dB,1.53226853101413e+002°)
1.97738510783460e+003	(1.05413047595773e+002dB,1.53817023808801e+002°)
2.02344432388747e+003	(1.05382784495044e+002dB,1.54395891137434e+002°)
2.07057639690432e+003	(1.05353986914121e+002dB,1.54963504809932e+002°)
2.11880631693412e+003	(1.05326587256245e+002dB,1.55519931016414e+002°)
2.16815965611888e+003	(1.05300520361180e+002dB,1.56065250856813e+002°)
2.21866258225230e+003	(1.05275723513837e+002dB,1.56599558856385e+002°)
2.27034187265430e+003	(1.05252136438226e+002dB,1.57122961558158e+002°)
2.32322492836871e+003	(1.05229701278569e+002dB,1.57635576194668e+002°)
2.37733978869166e+003	(1.05208362569275e+002dB,1.58137529440144e+002°)
2.43271514603838e+003	(1.05188067195402e+002dB,1.58628956243199e+002°)
2.48938036115633e+003	(1.05168764345078e+002dB,1.59109998739248e+002°)
2.54736547869260e+003	(1.05150405455260e+002dB,1.59580805241107e+002°)
2.60670124312405e+003	(1.05132944152056e+002dB,1.60041529305625e+002°)
2.66741911505837e+003	(1.05116336186750e+002dB,1.60492328873736e+002°)
2.72955128791496e+003	(1.05100539368526e+002dB,1.60933365480933e+002°)
2.79313070499429e+003	(1.05085513494790e+002dB,1.61364803534907e+002°)
2.85819107694486e+003	(1.05071220279883e+002dB,1.61786809656901e+002°)
2.92476689963705e+003	(1.05057623282877e+002dB,1.62199552083220e+002°)
2.99289347245330e+003	(1.05044687835060e+002dB,1.62603200123277e+002°)
3.06260691700428e+003	(1.05032380967625e+002dB,1.62997923670571e+002°)
3.13394419628104e+003	(1.05020671340005e+002dB,1.63383892763023e+002°)
3.20000000000000e+003	(1.05010554544447e+002dB,1.63726116130418e+002°)
