Freq.	V(va)/I(R3)
2.25959182934559e+004	(1.00481453820035e+002dB,1.78396895360761e+002°)
2.26480072647111e+004	(1.00483039463608e+002dB,1.78386122547803e+002°)
2.27002163134462e+004	(1.00484642858790e+002dB,1.78375214877238e+002°)
2.27525457164686e+004	(1.00486264282891e+002dB,1.78364169795486e+002°)
2.28049957512233e+004	(1.00487904018847e+002dB,1.78352984684886e+002°)
2.28575666957954e+004	(1.00489562355360e+002dB,1.78341656861702e+002°)
2.29102588289106e+004	(1.00491239587042e+002dB,1.78330183574048e+002°)
2.29630724299376e+004	(1.00492936014558e+002dB,1.78318561999740e+002°)
2.30160077788886e+004	(1.00494651944780e+002dB,1.78306789244064e+002°)
2.30690651564218e+004	(1.00496387690937e+002dB,1.78294862337465e+002°)
2.31222448438419e+004	(1.00498143572776e+002dB,1.78282778233141e+002°)
2.31755471231024e+004	(1.00499919916727e+002dB,1.78270533804552e+002°)
2.32289722768068e+004	(1.00501717056067e+002dB,1.78258125842825e+002°)
2.32825205882097e+004	(1.00503535331096e+002dB,1.78245551054064e+002°)
2.33361923412192e+004	(1.00505375089311e+002dB,1.78232806056555e+002°)
2.33899878203973e+004	(1.00507236685592e+002dB,1.78219887377859e+002°)
2.34439073109625e+004	(1.00509120482389e+002dB,1.78206791451791e+002°)
2.34979510987905e+004	(1.00511026849912e+002dB,1.78193514615281e+002°)
2.35521194704161e+004	(1.00512956166331e+002dB,1.78180053105104e+002°)
2.36064127130345e+004	(1.00514908817983e+002dB,1.78166403054486e+002°)
2.36608311145032e+004	(1.00516885199577e+002dB,1.78152560489568e+002°)
2.37153749633431e+004	(1.00518885714414e+002dB,1.78138521325727e+002°)
2.37700445487403e+004	(1.00520910774606e+002dB,1.78124281363745e+002°)
2.38248401605474e+004	(1.00522960801304e+002dB,1.78109836285825e+002°)
2.38797620892854e+004	(1.00525036224936e+002dB,1.78095181651432e+002°)
2.39348106261448e+004	(1.00527137485444e+002dB,1.78080312892976e+002°)
2.39899860629875e+004	(1.00529265032534e+002dB,1.78065225311294e+002°)
2.40452886923482e+004	(1.00531419325931e+002dB,1.78049914070957e+002°)
2.41007188074359e+004	(1.00533600835643e+002dB,1.78034374195374e+002°)
2.41562767021355e+004	(1.00535810042224e+002dB,1.78018600561674e+002°)
2.42119626710095e+004	(1.00538047437059e+002dB,1.78002587895389e+002°)
2.42677770092994e+004	(1.00540313522642e+002dB,1.77986330764885e+002°)
2.43237200129273e+004	(1.00542608812872e+002dB,1.77969823575566e+002°)
2.43797919784972e+004	(1.00544933833354e+002dB,1.77953060563808e+002°)
2.44359932032973e+004	(1.00547289121702e+002dB,1.77936035790644e+002°)
2.44923239853009e+004	(1.00549675227865e+002dB,1.77918743135146e+002°)
2.45487846231680e+004	(1.00552092714443e+002dB,1.77901176287525e+002°)
2.46053754162475e+004	(1.00554542157028e+002dB,1.77883328741916e+002°)
2.46620966645781e+004	(1.00557024144543e+002dB,1.77865193788829e+002°)
2.47189486688901e+004	(1.00559539279597e+002dB,1.77846764507265e+002°)
2.47759317306073e+004	(1.00562088178844e+002dB,1.77828033756457e+002°)
2.48330461518481e+004	(1.00564671473351e+002dB,1.77808994167236e+002°)
2.48902922354276e+004	(1.00567289808984e+002dB,1.77789638132990e+002°)
2.49476702848587e+004	(1.00569943846790e+002dB,1.77769957800198e+002°)
2.50051806043543e+004	(1.00572634263400e+002dB,1.77749945058512e+002°)
2.50628234988282e+004	(1.00575361751435e+002dB,1.77729591530374e+002°)
2.51205992738974e+004	(1.00578127019923e+002dB,1.77708888560123e+002°)
2.51785082358832e+004	(1.00580930794726e+002dB,1.77687827202584e+002°)
2.52365506918133e+004	(1.00583773818977e+002dB,1.77666398211092e+002°)
2.52947269494229e+004	(1.00586656853527e+002dB,1.77644592024936e+002°)
2.53530373171568e+004	(1.00589580677395e+002dB,1.77622398756171e+002°)
2.54114821041707e+004	(1.00592546088236e+002dB,1.77599808175786e+002°)
2.54700616203331e+004	(1.00595553902814e+002dB,1.77576809699167e+002°)
2.55287761762267e+004	(1.00598604957477e+002dB,1.77553392370826e+002°)
2.55876260831503e+004	(1.00601700108653e+002dB,1.77529544848355e+002°)
2.56466116531203e+004	(1.00604840233342e+002dB,1.77505255385556e+002°)
2.57057331988722e+004	(1.00608026229619e+002dB,1.77480511814694e+002°)
2.57649910338625e+004	(1.00611259017147e+002dB,1.77455301527830e+002°)
2.58243854722705e+004	(1.00614539537687e+002dB,1.77429611457171e+002°)
2.58839168289996e+004	(1.00617868755620e+002dB,1.77403428054378e+002°)
2.59435854196790e+004	(1.00621247658469e+002dB,1.77376737268775e+002°)
2.60033915606656e+004	(1.00624677257422e+002dB,1.77349524524387e+002°)
2.60633355690458e+004	(1.00628158587858e+002dB,1.77321774695726e+002°)
2.61234177626367e+004	(1.00631692709871e+002dB,1.77293472082269e+002°)
2.61836384599880e+004	(1.00635280708785e+002dB,1.77264600381523e+002°)
2.62439979803839e+004	(1.00638923695676e+002dB,1.77235142660594e+002°)
2.63044966438446e+004	(1.00642622807872e+002dB,1.77205081326182e+002°)
2.63651347711280e+004	(1.00646379209451e+002dB,1.77174398092867e+002°)
2.64259126837313e+004	(1.00650194091723e+002dB,1.77143073949612e+002°)
2.64868307038931e+004	(1.00654068673687e+002dB,1.77111089124338e+002°)
2.65478891545946e+004	(1.00658004202475e+002dB,1.77078423046462e+002°)
2.66090883595616e+004	(1.00662001953765e+002dB,1.77045054307252e+002°)
2.66704286432663e+004	(1.00666063232155e+002dB,1.77010960617864e+002°)
2.67319103309287e+004	(1.00670189371509e+002dB,1.76976118764895e+002°)
2.67935337485185e+004	(1.00674381735246e+002dB,1.76940504563293e+002°)
2.68552992227571e+004	(1.00678641716582e+002dB,1.76904092806430e+002°)
2.69172070811188e+004	(1.00682970738704e+002dB,1.76866857213165e+002°)
2.69792576518329e+004	(1.00687370254875e+002dB,1.76828770371664e+002°)
2.70414512638854e+004	(1.00691841748452e+002dB,1.76789803679770e+002°)
2.71037882470205e+004	(1.00696386732805e+002dB,1.76749927281666e+002°)
2.71662689317429e+004	(1.00701006751129e+002dB,1.76709110000584e+002°)
2.72288936493188e+004	(1.00705703376121e+002dB,1.76667319267260e+002°)
2.72916627317783e+004	(1.00710478209516e+002dB,1.76624521043844e+002°)
2.73545765119168e+004	(1.00715332881456e+002dB,1.76580679742925e+002°)
2.74176353232969e+004	(1.00720269049663e+002dB,1.76535758141326e+002°)
2.74808395002501e+004	(1.00725288398404e+002dB,1.76489717288273e+002°)
2.75441893778787e+004	(1.00730392637198e+002dB,1.76442516407528e+002°)
2.76076852920575e+004	(1.00735583499259e+002dB,1.76394112793034e+002°)
2.76713275794354e+004	(1.00740862739608e+002dB,1.76344461697588e+002°)
2.77351165774376e+004	(1.00746232132834e+002dB,1.76293516214011e+002°)
2.77990526242669e+004	(1.00751693470447e+002dB,1.76241227148243e+002°)
2.78631360589058e+004	(1.00757248557766e+002dB,1.76187542883752e+002°)
2.79273672211185e+004	(1.00762899210292e+002dB,1.76132409236572e+002°)
2.79917464514521e+004	(1.00768647249488e+002dB,1.76075769300264e+002°)
2.80562740912389e+004	(1.00774494497886e+002dB,1.76017563279990e+002°)
2.81209504825981e+004	(1.00780442773449e+002dB,1.75957728314858e+002°)
2.81857759684373e+004	(1.00786493883068e+002dB,1.75896198287614e+002°)
2.82507508924549e+004	(1.00792649615098e+002dB,1.75832903620659e+002°)
2.83158755991414e+004	(1.00798911730795e+002dB,1.75767771057314e+002°)
2.83811504337816e+004	(1.00805281954519e+002dB,1.75700723427144e+002°)
2.84465757424562e+004	(1.00811761962529e+002dB,1.75631679394054e+002°)
2.85121518720435e+004	(1.00818353370189e+002dB,1.75560553185758e+002°)
2.85778791702218e+004	(1.00825057717381e+002dB,1.75487254303119e+002°)
2.86437579854706e+004	(1.00831876451871e+002dB,1.75411687207711e+002°)
2.87097886670729e+004	(1.00838810910365e+002dB,1.75333750985820e+002°)
2.87759715651167e+004	(1.00845862296939e+002dB,1.75253338986971e+002°)
2.88423070304971e+004	(1.00853031658498e+002dB,1.75170338434884e+002°)
2.89087954149183e+004	(1.00860319856845e+002dB,1.75084630008599e+002°)
2.89754370708950e+004	(1.00867727536915e+002dB,1.74996087391351e+002°)
2.90422323517546e+004	(1.00875255090637e+002dB,1.74904576784542e+002°)
2.91091816116391e+004	(1.00882902615827e+002dB,1.74809956383999e+002°)
2.91762852055067e+004	(1.00890669869426e+002dB,1.74712075815457e+002°)
2.92435434891341e+004	(1.00898556214292e+002dB,1.74610775526026e+002°)
2.93109568191180e+004	(1.00906560558643e+002dB,1.74505886128140e+002°)
2.93785255528771e+004	(1.00914681287119e+002dB,1.74397227692289e+002°)
2.94462500486541e+004	(1.00922916182275e+002dB,1.74284608984616e+002°)
2.95141306655176e+004	(1.00931262335132e+002dB,1.74167826645226e+002°)
2.95821677633639e+004	(1.00939716043235e+002dB,1.74046664302918e+002°)
2.96503617029188e+004	(1.00948272694390e+002dB,1.73920891621848e+002°)
2.97187128457399e+004	(1.00956926634023e+002dB,1.73790263275572e+002°)
2.97872215542180e+004	(1.00965671013747e+002dB,1.73654517843889e+002°)
2.98558881915796e+004	(1.00974497618400e+002dB,1.73513376627957e+002°)
2.99247131218884e+004	(1.00983396668348e+002dB,1.73366542379423e+002°)
2.99936967100472e+004	(1.00992356593389e+002dB,1.73213697939688e+002°)
3.00628393218002e+004	(1.01001363774027e+002dB,1.73054504786103e+002°)
3.01321413237346e+004	(1.01010402245200e+002dB,1.72888601482918e+002°)
3.02016030832827e+004	(1.01019453356822e+002dB,1.72715602036210e+002°)
3.02712249687239e+004	(1.01028495384613e+002dB,1.72535094154076e+002°)
3.03410073491864e+004	(1.01037503083670e+002dB,1.72346637416078e+002°)
3.04109505946496e+004	(1.01046447176104e+002dB,1.72149761359698e+002°)
3.04810550759455e+004	(1.01055293762713e+002dB,1.71943963496439e+002°)
3.05513211647612e+004	(1.01064003647173e+002dB,1.71728707276749e+002°)
3.06217492336403e+004	(1.01072531559496e+002dB,1.71503420031462e+002°)
3.06923396559856e+004	(1.01080825263568e+002dB,1.71267490928498e+002°)
3.07630928060604e+004	(1.01088824531429e+002dB,1.71020268997914e+002°)
3.08340090589909e+004	(1.01096459964526e+002dB,1.70761061296793e+002°)
3.09050887907680e+004	(1.01103651639591e+002dB,1.70489131309066e+002°)
3.09763323782493e+004	(1.01110307553973e+002dB,1.70203697705494e+002°)
3.10477401991613e+004	(1.01116321842368e+002dB,1.69903933627219e+002°)
3.11193126321012e+004	(1.01121572734009e+002dB,1.69588966704685e+002°)
3.11910500565388e+004	(1.01125920216703e+002dB,1.69257880084542e+002°)
3.12629528528188e+004	(1.01129203371973e+002dB,1.68909714813255e+002°)
3.13350214021627e+004	(1.01131237344380e+002dB,1.68543474020864e+002°)
3.14072560866707e+004	(1.01131809908569e+002dB,1.68158129465195e+002°)
3.14796572893241e+004	(1.01130677600606e+002dB,1.67752631139843e+002°)
3.15522253939866e+004	(1.01127561387025e+002dB,1.67325920822313e+002°)
3.16249607854073e+004	(1.01122141857541e+002dB,1.66876950645175e+002°)
3.16978638492219e+004	(1.01114053947899e+002dB,1.66404708015028e+002°)
3.17709349719552e+004	(1.01102881231002e+002dB,1.65908248480777e+002°)
3.18441745410231e+004	(1.01088149861397e+002dB,1.65386738458619e+002°)
3.19175829447343e+004	(1.01069322325245e+002dB,1.64839510042979e+002°)
3.19911605722930e+004	(1.01045791241311e+002dB,1.64266130444799e+002°)
3.20649078138005e+004	(1.01016873584823e+002dB,1.63666488857809e+002°)
3.21388250602572e+004	(1.00981805872473e+002dB,1.63040903691115e+002°)
3.22129127035651e+004	(1.00939741059293e+002dB,1.62390253020518e+002°)
3.22871711365294e+004	(1.00889748159841e+002dB,1.61716130656981e+002°)
3.23616007528610e+004	(1.00830815914173e+002dB,1.61021029215447e+002°)
3.24362019471782e+004	(1.00761862159706e+002dB,1.60308549748497e+002°)
3.25109751150093e+004	(1.00681750913082e+002dB,1.59583634608174e+002°)
3.25859206527941e+004	(1.00589319457005e+002dB,1.58852815933525e+002°)
3.26610389578863e+004	(1.00483417880610e+002dB,1.58124466311280e+002°)
3.27363304285558e+004	(1.00362963417674e+002dB,1.57409030670198e+002°)
3.28117954639904e+004	(1.00227011411445e+002dB,1.56719209609079e+002°)
3.28874344642983e+004	(1.00074843635635e+002dB,1.56070054878922e+002°)
3.29632478305098e+004	(9.99060728573100e+001dB,1.55478929059567e+002°)
3.30392359645799e+004	(9.97207598402607e+001dB,1.54965275777176e+002°)
3.31153992693902e+004	(9.95195354881909e+001dB,1.54550147016476e+002°)
3.31917381487508e+004	(9.93037167552871e+001dB,1.54255443564162e+002°)
3.32682530074030e+004	(9.90754008283220e+001dB,1.54102846639181e+002°)
3.33449442510209e+004	(9.88375187590195e+001dB,1.54112455556461e+002°)
3.34218122862138e+004	(9.85938283688626e+001dB,1.54301197750029e+002°)
3.34988575205283e+004	(9.83488282415084e+001dB,1.54681139618585e+002°)
3.35760803624508e+004	(9.81075812598135e+001dB,1.55257889776763e+002°)
3.36534812214089e+004	(9.78754481040470e+001dB,1.56029334183806e+002°)
3.37310605077744e+004	(9.76577476596783e+001dB,1.56984954113378e+002°)
3.38088186328649e+004	(9.74593794979859e+001dB,1.58105932911849e+002°)
3.38867560089462e+004	(9.72844584102542e+001dB,1.59366147511050e+002°)
3.39648730492345e+004	(9.71360164310826e+001dB,1.60733980062214e+002°)
3.40431701678986e+004	(9.70158196987170e+001dB,1.62174714383596e+002°)
3.41216477800620e+004	(9.69243262774008e+001dB,1.63653156297184e+002°)
3.42003063018053e+004	(9.68607825999769e+001dB,1.65136081525510e+002°)
3.42791461501681e+004	(9.68234296403223e+001dB,1.66594181134237e+002°)
3.43581677431513e+004	(9.68097734275509e+001dB,1.68003314078434e+002°)
3.44373714997197e+004	(9.68168715252159e+001dB,1.69345036658051e+002°)
3.45167578398036e+004	(9.68415956277927e+001dB,1.70606509522820e+002°)
3.45963271843016e+004	(9.68808451068285e+001dB,1.71779956705484e+002°)
3.46760799550823e+004	(9.69317014992714e+001dB,1.72861866976236e+002°)
3.47560165749871e+004	(9.69915257621454e+001dB,1.73852102237211e+002°)
3.48361374678318e+004	(9.70580072369086e+001dB,1.74753032390384e+002°)
3.49164430584096e+004	(9.71291761085097e+001dB,1.75568768759213e+002°)
3.49969337724927e+004	(9.72033909935080e+001dB,1.76304528950747e+002°)
3.50776100368348e+004	(9.72793115146834e+001dB,1.76966138582055e+002°)
3.51584722791734e+004	(9.73558633685911e+001dB,1.77559658905947e+002°)
3.52395209282321e+004	(9.74322011138117e+001dB,1.78091121518496e+002°)
3.53207564137228e+004	(9.75076720097113e+001dB,1.78566349162290e+002°)
3.54021791663480e+004	(9.75817828043040e+001dB,1.78990842757726e+002°)
3.54837896178029e+004	(9.76541703715298e+001dB,1.79369717487435e+002°)
3.55655882007780e+004	(9.77245764502643e+001dB,1.79707673945143e+002°)
3.56475753489613e+004	(9.77928263488904e+001dB,-1.79991006562437e+002°)
3.57297514970406e+004	(9.78588112705093e+001dB,-1.79722450787292e+002°)
3.58121170807054e+004	(9.79224738224088e+001dB,-1.79483172411102e+002°)
3.58946725366501e+004	(9.79837962539306e+001dB,-1.79270045313038e+002°)
3.59774183025753e+004	(9.80427909882962e+001dB,-1.79080274217398e+002°)
3.60603548171909e+004	(9.80994930560131e+001dB,-1.78911364729685e+002°)
3.61434825202181e+004	(9.81539540875859e+001dB,-1.78761094062935e+002°)
3.62268018523916e+004	(9.82062375740400e+001dB,-1.78627483253818e+002°)
3.63103132554622e+004	(9.82564151512223e+001dB,-1.78508771318273e+002°)
3.63940171721992e+004	(9.83045637061238e+001dB,-1.78403391558286e+002°)
3.64779140463923e+004	(9.83507631399304e+001dB,-1.78309950073689e+002°)
3.65620043228544e+004	(9.83950946532787e+001dB,-1.78227206431848e+002°)
3.66462884474237e+004	(9.84376394446977e+001dB,-1.78154056386666e+002°)
3.67307668669664e+004	(9.84784777341021e+001dB,-1.78089516503464e+002°)
3.68154400293786e+004	(9.85176880401090e+001dB,-1.78032710528810e+002°)
3.69003083835890e+004	(9.85553466535670e+001dB,-1.77982857337143e+002°)
3.69853723795610e+004	(9.85915272606712e+001dB,-1.77939260284040e+002°)
3.70706324682957e+004	(9.86263006781194e+001dB,-1.77901297795445e+002°)
3.71560891018335e+004	(9.86597346707033e+001dB,-1.77868415020997e+002°)
3.72417427332568e+004	(9.86918938294069e+001dB,-1.77840116378057e+002°)
3.73275938166929e+004	(9.87228394962914e+001dB,-1.77815958814489e+002°)
3.74136428073155e+004	(9.87526297316327e+001dB,-1.77795545630804e+002°)
3.74998901613478e+004	(9.87813193283768e+001dB,-1.77778520737102e+002°)
3.75863363360648e+004	(9.88089598868005e+001dB,-1.77764563287742e+002°)
3.76729817897955e+004	(9.88355999643582e+001dB,-1.77753382735546e+002°)
3.77598269819253e+004	(9.88612853078718e+001dB,-1.77744714453359e+002°)
3.78468723728990e+004	(9.88860591563201e+001dB,-1.77738316134316e+002°)
3.79341184242224e+004	(9.89099625779872e+001dB,-1.77733965148487e+002°)
3.80215655984654e+004	(9.89330347876206e+001dB,-1.77731456884720e+002°)
3.81092143592644e+004	(9.89553133897476e+001dB,-1.77730603893633e+002°)
3.81970651713242e+004	(9.89768345165449e+001dB,-1.77731235474973e+002°)
3.82851185004211e+004	(9.89976328627500e+001dB,-1.77733197310821e+002°)
3.83733748134052e+004	(9.90177416493126e+001dB,-1.77736350848760e+002°)
3.84618345782026e+004	(9.90371925597131e+001dB,-1.77740572319348e+002°)
3.85504982638181e+004	(9.90560156871843e+001dB,-1.77745751437478e+002°)
3.86393663403379e+004	(9.90742395152813e+001dB,-1.77751789929279e+002°)
3.87284392789316e+004	(9.90918909377647e+001dB,-1.77758600039526e+002°)
3.88177175518550e+004	(9.91089953123793e+001dB,-1.77766103137873e+002°)
3.89072016324527e+004	(9.91255765380428e+001dB,-1.77774228489854e+002°)
3.89968919951603e+004	(9.91416571446347e+001dB,-1.77782912213183e+002°)
3.90867891155073e+004	(9.91572583867038e+001dB,-1.77792096410218e+002°)
3.91768934701192e+004	(9.91724003352202e+001dB,-1.77801728452772e+002°)
3.92672055367203e+004	(9.91871019639954e+001dB,-1.77811760391321e+002°)
3.93577257941363e+004	(9.92013812292313e+001dB,-1.77822148462423e+002°)
3.94484547222965e+004	(9.92152551418373e+001dB,-1.77832852672465e+002°)
3.95393928022366e+004	(9.92287398328159e+001dB,-1.77843836440590e+002°)
3.96305405161013e+004	(9.92418506123327e+001dB,-1.77855066287898e+002°)
3.97218983471468e+004	(9.92546020231883e+001dB,-1.77866511563433e+002°)
3.98134667797431e+004	(9.92670078893952e+001dB,-1.77878144200049e+002°)
3.99052462993770e+004	(9.92790813604978e+001dB,-1.77889938495089e+002°)
3.99972373926542e+004	(9.92908349521850e+001dB,-1.77901870912139e+002°)
4.00894405473026e+004	(9.93022805836625e+001dB,-1.77913919901027e+002°)
4.01818562521739e+004	(9.93134296121718e+001dB,-1.77926065733860e+002°)
4.02744849972471e+004	(9.93242928649796e+001dB,-1.77938290355343e+002°)
4.03673272736306e+004	(9.93348806691068e+001dB,-1.77950577245933e+002°)
4.04603835735648e+004	(9.93452028790226e+001dB,-1.77962911296580e+002°)
4.05536543904250e+004	(9.93552689024950e+001dB,-1.77975278694004e+002°)
4.06471402187238e+004	(9.93650877247607e+001dB,-1.77987666815564e+002°)
4.07408415541137e+004	(9.93746679311557e+001dB,-1.78000064132877e+002°)
4.08347588933899e+004	(9.93840177283297e+001dB,-1.78012460123434e+002°)
4.09288927344928e+004	(9.93931449641538e+001dB,-1.78024845189526e+002°)
4.10232435765106e+004	(9.94020571464168e+001dB,-1.78037210583861e+002°)
4.11178119196821e+004	(9.94107614603990e+001dB,-1.78049548341301e+002°)
4.12125982653993e+004	(9.94192647854006e+001dB,-1.78061851216195e+002°)
4.13076031162099e+004	(9.94275737102978e+001dB,-1.78074112624849e+002°)
4.14028269758201e+004	(9.94356945481907e+001dB,-1.78086326592674e+002°)
4.14982703490975e+004	(9.94436333502036e+001dB,-1.78098487705649e+002°)
4.15939337420732e+004	(9.94513959184936e+001dB,-1.78110591065702e+002°)
4.16898176619450e+004	(9.94589878185176e+001dB,-1.78122632249704e+002°)
4.17859226170801e+004	(9.94664143906062e+001dB,-1.78134607271760e+002°)
4.18822491170171e+004	(9.94736807608873e+001dB,-1.78146512548523e+002°)
4.19787976724697e+004	(9.94807918516008e+001dB,-1.78158344867283e+002°)
4.20755687953288e+004	(9.94877523908423e+001dB,-1.78170101356595e+002°)
4.21725629986650e+004	(9.94945669217711e+001dB,-1.78181779459229e+002°)
4.22697807967322e+004	(9.95012398113150e+001dB,-1.78193376907273e+002°)
4.23672227049693e+004	(9.95077752584031e+001dB,-1.78204891699175e+002°)
4.24648892400036e+004	(9.95141773017550e+001dB,-1.78216322078607e+002°)
4.25627809196535e+004	(9.95204498272529e+001dB,-1.78227666514963e+002°)
4.26608982629307e+004	(9.95265965749224e+001dB,-1.78238923685386e+002°)
4.27592417900439e+004	(9.95326211455438e+001dB,-1.78250092458184e+002°)
4.28578120224004e+004	(9.95385270069173e+001dB,-1.78261171877533e+002°)
4.29566094826099e+004	(9.95443174998020e+001dB,-1.78272161149351e+002°)
4.30556346944867e+004	(9.95499958435463e+001dB,-1.78283059628270e+002°)
4.31548881830525e+004	(9.95555651414307e+001dB,-1.78293866805591e+002°)
4.32543704745396e+004	(9.95610283857363e+001dB,-1.78304582298168e+002°)
4.33540820963931e+004	(9.95663884625573e+001dB,-1.78315205838139e+002°)
4.34540235772741e+004	(9.95716481563704e+001dB,-1.78325737263430e+002°)
4.35541954470624e+004	(9.95768101543758e+001dB,-1.78336176508986e+002°)
4.36545982368592e+004	(9.95818770506230e+001dB,-1.78346523598660e+002°)
4.37552324789902e+004	(9.95868513499317e+001dB,-1.78356778637714e+002°)
4.38560987070081e+004	(9.95917354716219e+001dB,-1.78366941805889e+002°)
4.39571974556957e+004	(9.95965317530614e+001dB,-1.78377013350988e+002°)
4.40585292610683e+004	(9.96012424530419e+001dB,-1.78386993582952e+002°)
4.41600946603772e+004	(9.96058697549927e+001dB,-1.78396882868364e+002°)
4.42618941921119e+004	(9.96104157700417e+001dB,-1.78406681625384e+002°)
4.43639283960035e+004	(9.96148825399301e+001dB,-1.78416390319042e+002°)
4.44661978130272e+004	(9.96192720397909e+001dB,-1.78426009456905e+002°)
4.45687029854052e+004	(9.96235861807968e+001dB,-1.78435539585045e+002°)
4.46714444566098e+004	(9.96278268126851e+001dB,-1.78444981284329e+002°)
4.47744227713659e+004	(9.96319957261662e+001dB,-1.78454335166973e+002°)
4.48776384756545e+004	(9.96360946552214e+001dB,-1.78463601873358e+002°)
4.49810921167147e+004	(9.96401252792960e+001dB,-1.78472782069086e+002°)
4.50847842430477e+004	(9.96440892253935e+001dB,-1.78481876442258e+002°)
4.51887154044187e+004	(9.96479880700750e+001dB,-1.78490885700948e+002°)
4.52928861518603e+004	(9.96518233413694e+001dB,-1.78499810570880e+002°)
4.53972970376755e+004	(9.96555965205996e+001dB,-1.78508651793267e+002°)
4.55019486154405e+004	(9.96593090441268e+001dB,-1.78517410122827e+002°)
4.56068414400075e+004	(9.96629623050194e+001dB,-1.78526086325936e+002°)
4.57119760675077e+004	(9.96665576546486e+001dB,-1.78534681178933e+002°)
4.58173530553545e+004	(9.96700964042157e+001dB,-1.78543195466550e+002°)
4.59229729622463e+004	(9.96735798262127e+001dB,-1.78551629980460e+002°)
4.60288363481692e+004	(9.96770091558215e+001dB,-1.78559985517946e+002°)
4.61349437744004e+004	(9.96803855922528e+001dB,-1.78568262880661e+002°)
